dataset,patient_id,slide_id,region_uid,x,y,tile_size,mag,tissue_fraction,tumor_mask_overlap,tumor_overlap_fraction,tumor_mask_overlap_center,tumor_mask_overlap_area20,selection_source,rank,task_id,model_hash,context_set,is_diverse,random_seed,relative_path,minio_path,patch_uid
c17_native,patient_195,patient_195_node_0,e68b3666e4c78139,38144,172544,256,20,0.9909210205078124,1,1.0,1,1,top_k,1,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_195_node_0/standard/top_k/patient_195_node_0_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_195_node_0/standard/top_k/patient_195_node_0_standard_top_k_000.png,patient_195_node_0_standard_top_k_000
c17_native,patient_195,patient_195_node_0,ba7be4b1d8377bbe,38656,71424,256,20,0.9897003173828124,1,1.0,1,1,top_k,2,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_195_node_0/standard/top_k/patient_195_node_0_standard_top_k_001.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_195_node_0/standard/top_k/patient_195_node_0_standard_top_k_001.png,patient_195_node_0_standard_top_k_001
c17_native,patient_195,patient_195_node_0,7fe5c055ed078170,39680,171520,256,20,0.9461822509765624,1,1.0,1,1,top_k,3,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_195_node_0/standard/top_k/patient_195_node_0_standard_top_k_002.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_195_node_0/standard/top_k/patient_195_node_0_standard_top_k_002.png,patient_195_node_0_standard_top_k_002
c17_native,patient_162,patient_162_node_4,c58fcd01350294cc,15872,45824,256,20,0.9615325927734376,0,0.0,0,0,top_k,1,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_162_node_4/standard/top_k/patient_162_node_4_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_162_node_4/standard/top_k/patient_162_node_4_standard_top_k_000.png,patient_162_node_4_standard_top_k_000
c17_native,patient_162,patient_162_node_4,e40e072b0c2616bb,7680,36608,256,20,0.1716156005859375,0,0.0,0,0,top_k,2,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_162_node_4/standard/top_k/patient_162_node_4_standard_top_k_001.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_162_node_4/standard/top_k/patient_162_node_4_standard_top_k_001.png,patient_162_node_4_standard_top_k_001
c17_native,patient_162,patient_162_node_4,cc96165ef430cdc3,102656,43008,256,20,0.966522216796875,0,0.0,0,0,top_k,3,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_162_node_4/standard/top_k/patient_162_node_4_standard_top_k_002.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_162_node_4/standard/top_k/patient_162_node_4_standard_top_k_002.png,patient_162_node_4_standard_top_k_002
c17_native,patient_114,patient_114_node_4,fabfd38377d927f5,36608,105984,256,20,0.673248291015625,0,0.0,0,0,top_k,1,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_114_node_4/standard/top_k/patient_114_node_4_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_114_node_4/standard/top_k/patient_114_node_4_standard_top_k_000.png,patient_114_node_4_standard_top_k_000
c17_native,patient_114,patient_114_node_4,ca912f59c66330c2,36096,106496,256,20,0.5460357666015625,0,0.0,0,0,top_k,2,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_114_node_4/standard/top_k/patient_114_node_4_standard_top_k_001.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_114_node_4/standard/top_k/patient_114_node_4_standard_top_k_001.png,patient_114_node_4_standard_top_k_001
c17_native,patient_114,patient_114_node_4,18754c5a7d9dcd38,39168,172800,256,20,0.3863067626953125,0,0.0,0,0,top_k,3,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_114_node_4/standard/top_k/patient_114_node_4_standard_top_k_002.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_114_node_4/standard/top_k/patient_114_node_4_standard_top_k_002.png,patient_114_node_4_standard_top_k_002
c17_native,patient_104,patient_104_node_4,13d6fff2187bd842,109056,59136,256,20,0.969573974609375,0,0.0,0,0,top_k,1,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_104_node_4/standard/top_k/patient_104_node_4_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_104_node_4/standard/top_k/patient_104_node_4_standard_top_k_000.png,patient_104_node_4_standard_top_k_000
c17_native,patient_104,patient_104_node_4,850ba3b1bcbc0f7e,85760,65536,256,20,0.997711181640625,0,0.0,0,0,top_k,2,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_104_node_4/standard/top_k/patient_104_node_4_standard_top_k_001.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_104_node_4/standard/top_k/patient_104_node_4_standard_top_k_001.png,patient_104_node_4_standard_top_k_001
c17_native,patient_104,patient_104_node_4,8cde98d63114d217,88320,65536,256,20,0.9974822998046876,0,0.0,0,0,top_k,3,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_104_node_4/standard/top_k/patient_104_node_4_standard_top_k_002.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_104_node_4/standard/top_k/patient_104_node_4_standard_top_k_002.png,patient_104_node_4_standard_top_k_002
c17_native,patient_152,patient_152_node_4,934e70299ceeb46a,57600,175616,256,20,0.7698822021484375,0,0.0,0,0,top_k,1,1d5657e342c149ef8305d568410dbc96,1d5657e342c149ef8305d568410dbc96,standard,0,0,vlm_patches/patient_152_node_4/standard/top_k/patient_152_node_4_standard_top_k_000.png,s3://pershin-medailab/Pathomorphology/CAMELYON/mil/vlm_patches/c17_abmil_vlm_patches_1d5657e342c149ef8305d568410dbc96.tar.gz!/vlm_patches/patient_152_node_4/standard/top_k/patient_152_node_4_standard_top_k_000.png,patient_152_node_4_standard_top_k_000
